"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4766","should login successfully with valid credentials","Google Chrome","2026-06-27","passed","2026-06-27","@smoke Login Flow","smoke\login.smoke.spec.ts","",""
"","4772","should create a new ParaBank account successfully","Google Chrome","2026-06-27","passed","2026-06-27","@regression Registration","regression\registration.regression.spec.ts","",""
